PARK_NO,LOCATION,CITY,STATE,ZIP,PARK
478,401 N LAKE SHORE DR,Chicago,IL,60611,DUSABLE (JEAN BAPTISTE POINTE)
479,1240 S PLYMOUTH CT,Chicago,IL,60616,JONES (MARY RICHARDSON)
480,44 W 15TH ST,Chicago,IL,60616,COTTON TAIL
481,300 W 18TH ST,Chicago,IL,60616,TOM (PING) MEML.
482,1833 E 71ST ST,Chicago,IL,60649,NASH (DON) COMM. CTR.
484,4701 W MARQUETTE RD,Chicago,IL,60638,"MADIGAN (MICHAEL J., SR.)"
501,4701 W BELMONT AVE,Chicago,IL,60641,PARSONS (LUCY)
485,4434 S LAKE PARK AVE,Chicago,IL,60653,KENNICOTT (JONATHAN)
486,5001 N LEAVITT ST,Chicago,IL,60625,WINNEMAC
487,4437 N MAGNOLIA AVE,Chicago,IL,60640,BRONCHO BILLY
488,1100 W IRVING PARK RD,Chicago,IL,60613,CHALLENGER
492,4433 S ST LAWRENCE,Chicago,IL,60653,ARMSTRONG (LILLIAN HARDIN)
493,3800 N SEMINARY AVE,Chicago,IL,60613,KELLY (JOHN)
494,5200 S HYDE PARK BLVD,Chicago,IL,60615,WASHINGTON (HAROLD)
496,3601 W ARTHINGTON ST,Chicago,IL,60624,"BOLER (LEO ROSCOE, SR.)"
497,2306 W MAYPOLE AVE,Chicago,IL,60612,STARR (ELLEN GATES)
1018,3225 S RACINE AVE,Chicago,IL,60608,WILSON (JOHN) COMM. CTR.
499,3925 E 104TH ST,Chicago,IL,60617,"BENIAC (JOHN ""BEANS"") GREENWAY"
502,2701 S ASHLAND AVE,Chicago,IL,60608,CANAL ORIGINS
513,1401 S INDIANA AVE,Chicago,IL,60605,WEBSTER (DANIEL)
514,1434 N MONTICELLO AVE,Chicago,IL,60651,PARK NO. 514
1161,2941 N WASHTENAW AVE,Chicago,IL,60618,ALGONQUIN
500,730 S SPRINGFIELD AVE,Chicago,IL,60624,PARK NO. 500
503,8900 S GREEN BAY AVE,Chicago,IL,60617,SCHAFER (CLARA D.)
507,1466 S WABASH AV,Chicago,IL,60605,COLISEUM
509,1300 W 79TH ST,Chicago,IL,60620,RENAISSANCE
510,2139-59 W. LEXINGTON ST,Chicago,IL,60612,LIVINGSTON FIELD
511,630 N KINGSBURY AVE,Chicago,IL,60610,WARD (A. MONTGOMERY)
512,1800 N ASHLAND AVE,Chicago,IL,60614,PARK NO. 512
504,900 E PERSHING RD.,Chicago,IL,60653,MANDRAKE (HENRY BROWN)
505,7101 W 63RD ST,Chicago,IL,60638,NOTTINGHAM
506,7710 N PAULINA ST,Chicago,IL,60626,WASHINGTON (HAROLD) MEM.
515,3517 W ARTHINGTON ST,Chicago,IL,60624,HOMAN SQUARE COMMUNITY CENTER
516,2900 S ASHLAND AVE,Chicago,IL,60608,CANALPORT RIVERWALK
517,5914-24 N SHERIDAN RD,Chicago,IL,60660,PARK NO. 517
518,1750 W JUNEWAY TER,Chicago,IL,60626,TRIANGLE
519,1944 S ST LOUIS AVE,Chicago,IL,60623,PARK NO. 519
520,916 N HONORE ST,Chicago,IL,60622,PALMER (BERTHA HONORÃ‰)
521,1426 W WARNER AVE,Chicago,IL,60613,WARNER GARDEN
522,1719 W WOLFRAM ST,Chicago,IL,60657,WANG (CHI CHE)
523,E 87TH ST AT THE LAKE,Chicago,IL,60617,STEELWORKERS
524,6200 S DREXEL AVE,Chicago,IL,60637,HARRIS (HARRIET)
526,3140 W PETERSON AVE,Chicago,IL,60659,STONE (BERNARD L.)
527,6200 S LaSALLE ST,Chicago,IL,60621,PARK NO. 527
528,6336 S KILBOURN AVE,Chicago,IL,60629,PARK NO. 528
529,2155 W WABANSIA AVE,Chicago,IL,60647,PARK NO. 529
530,3150 S WESTERN AVE,Chicago,IL,60608,DALEY (RICHARD J.)
531,2850 S HALSTED ST,Chicago,IL,60608,PALMISANO (HENRY)
543,640 S FEDERAL ST,Chicago,IL,60605,PRINTERS ROW
532,4101 S. LAKE PARK AVE,Chicago,IL,60653,"WILLIAMS-DAVIS (HATTIE KAY,IZORA)"
533,5801 N PULASKI RD,Chicago,IL,60646,NORTH PARK NATURE CENTER
534,1300 S ST LOUIS AVE,Chicago,IL,60623,PARK NO. 534
535,800 W WISCONSIN ST,Chicago,IL,60614,PARK NO. 535
536,1401 N NOBLE ST,Chicago,IL,60622,PARK NO. 536
537,610-30 W ADAMS ST,Chicago,IL,60661,HERITAGE GREEN
538,6400 N KEDZIE,Chicago,IL,60645,PARK NO. 538
539,2200 N KEDZIE AVE,Chicago,IL,60647,PALMER SQUARE
540,2401 S FEDERAL ST,Chicago,IL,60616,PARK NO. 540
541,301-52 S STATE ST,Chicago,IL,60604,PRITZKER
542,115 S. SANGAMON ST,Chicago,IL,60602,BARTELME (MARY)
544,3538-40 N LINCOLN AVE,Chicago,IL,60657,KLEIN (LOIS)
546,450 E BENTON PL,Chicago,IL,60611,PARK NO. 546
547,1801 S CALUMET AVE,Chicago,IL,60616,BATTLE OF FORT DEARBORN
549,2430 W LOGAN BLVD,Chicago,IL,60647,LOGAN SQUARE SKATE PARK
550,1801 S INDIANA AVE,Chicago,IL,60616,CHICAGO WOMEN'S PARK AND GARDENS
551,353 N DES PLAINES ST,Chicago,IL,60661,PARK NO. 551
552,4901 W BELMONT AVE,Chicago,IL,60641,PARK NO. 552
553,2800 S SACRAMENTO AVE,Chicago,IL,60608,LA VILLITA
1019,1919 N SEMINARY AVE,Chicago,IL,60614,ADAMS (GEORGE & ADELE)
554,1805 N ALBANY AVE,Chicago,IL,60647,DE BURGOS (JULIA)
555,4400 W DEVON AVE,Chicago,IL,60626,SAUGANASH TRAIL
556,2529 W LOGAN BLVD,Chicago,IL,60647,PARK NO. 556
557,7211-7355 N KEDZIE AVE,Chicago,IL,60645,NORTH BOUNDARY
558,10609-15 S WESTERN AVE,Chicago,IL,60643,KING (PATRICK)-LOCKHART (ANTHONY)
559,6151 N SHERIDAN RD,Chicago,IL,60660,PARK NO. 559
560,410 W CHICAGO AVE,Chicago,IL,60654,WHITE (JESSE)
561,1629 S WABASH,Chicago,IL,60616,ANDERSON (FRED)
562,1735-37 E 96TH ST,Chicago,IL,60643,BYRNES (MARIAN)
563,13000 S TORRENCE AVE,Chicago,IL,60633,HEGEWISCH MARSH
564,11555 S STONY ISLAND AVE,Chicago,IL,60617,BIG MARSH
566,7901 S FARRAGUT,Chicago,IL,60617,PARK NO. 566
567,1799 N MILWAUKEE AVE,Chicago,IL,60647,PARK NO. 567
568,5601 N WESTERN AVE,Chicago,IL,60659,WEST RIDGE NATURE PARK
569,1358 W MONROE ST,Chicago,IL,60607,PARK NO. 569
570,1230 W SCHOOL ST,Chicago,IL,60657,DONAHUE (MARGARET)
571,2754-2860 S ELEANOR ST,Chicago,IL,60608,PARK NO. 571
573,701 E 114TH ST,Chicago,IL,60628,PARK NO. 573
574,2540 W JACKSON BLVD,Chicago,IL,60612,PARK NO. 574
576,2100 E 134TH ST,Chicago,IL,60633,PARK NO. 576
1017,2250 N CLIFTON AVE,Chicago,IL,60614,TREBES
577,11505 S. WESTERN AV,Chicago,IL,60643,MORGAN PARK SPORTS CENTER
578,1919 W MAYPOLE AVE,Chicago,IL,60612,PARK NO. 578
580,4030 N OAK PARK AVE,Chicago,IL,60634,PARK NO. 580
581,11625 S OAKLEY AVE,Chicago,IL,60643,PARK NO. 581
1001,2873 E 75TH ST,Chicago,IL,60649,RAINBOW BEACH
1002,4501 N CLARENDON AVE,Chicago,IL,60640,CLARENDON COMM. CTR.
1003,1725 N SPRINGFIELD AVE,Chicago,IL,60647,BEILFUSS (ALBERT W.)
1014,5705 S SHIELDS AVE,Chicago,IL,60621,SHERWOOD (JESSE)
1004,9729 S YATES AVE,Chicago,IL,60617,BRADLEY (JOSEPHINE)
1005,346 W 104TH ST,Chicago,IL,60628,BLOCK (EUGENE H.)
1006,1845 W RICE ST,Chicago,IL,60622,COMMERCIAL CLUB PGD. of CHICAGO
1008,5839 S WOOD ST,Chicago,IL,60636,HERMITAGE
1010,1330 E 50TH ST,Chicago,IL,60615,KENWOOD COMM.
1011,5210 W 64TH ST,Chicago,IL,60638,LAWLER (MICHAEL)
1012,8335 S HONORE ST,Chicago,IL,60620,O'HALLAREN (BERNARD)
1013,1222 W TOUHY AVE,Chicago,IL,60626,LEONE (SAM) BEACH
1015,2526 W GRAND AVE,Chicago,IL,60612,SMITH (JOSEPH HIGGINS)
1016,4347 W 54TH ST,Chicago,IL,60632,STROHACKER (HOWARD)
1020,3748 S PRAIRIE AVE,Chicago,IL,60653,ANDERSON (LOUIS)
1021,4431 W AUGUSTA BLVD,Chicago,IL,60651,AUGUSTA (CARPENTER)
1022,2022 W CERMAK RD,Chicago,IL,60608,BARRETT (JOHN)
1024,3044 S BONFIELD ST,Chicago,IL,60608,BOSLEY (WILLIAM)
1029,3620 S LITUANICA AVE,Chicago,IL,60609,DONOVAN (GEORGE)
1030,1313 S THROOP ST,Chicago,IL,60608,FOSCO (PETER)
1025,647 W ROOT ST,Chicago,IL,60609,"TAYLOR-LAURIDSEN (JOHN, EMIL)"
1026,4615 W JACKSON BLVD,Chicago,IL,60644,CLARK (JOHN)
1027,1356 N DEAN ST,Chicago,IL,60622,DEAN (JOHN)
1028,5311 S HAMILTON AVE,Chicago,IL,60609,MICEK (FRANK)
1031,2708 W LAWRENCE AVE,Chicago,IL,60625,GROSS (THEODORE)
1032,2402 N WASHTENAW AVE,Chicago,IL,60647,HAAS (JOSEPH)
1033,4912 S CALUMET AVE,Chicago,IL,60615,HARDING (GEORGE)
1035,3035 W VAN BUREN ST,Chicago,IL,60612,HORAN (ALBERT)
1036,3417 S HAMILTON AVE,Chicago,IL,60608,HOYNE (THOMAS)
1037,421 W LOCUST ST,Chicago,IL,60610,DURSO (JOHN)
1038,6010 W MATSON AVE,Chicago,IL,60646,INDIAN ROAD
1039,4140 W HIRSCH ST,Chicago,IL,60651,KEDVALE
1040,3201 W CHICAGO AVE,Chicago,IL,60624,KELLS (GEORGE)
1093,4905 W WABANSIA AVE,Chicago,IL,60639,DEGEORGE (BERNICE)
1041,345 E 118TH ST,Chicago,IL,60628,KENSINGTON
1042,2945 N KENOSHA AVE,Chicago,IL,60641,KEN-WELL
1043,7631 N ASHLAND AVE,Chicago,IL,60626,WHITE (WILLYE B.)
1044,5203 S LOWE AVE,Chicago,IL,60609,LOWE (SAMUEL)
1045,1640 N MAPLEWOOD AVE,Chicago,IL,60647,MAPLEWOOD
1046,1637 W 87TH ST,Chicago,IL,60620,MARSHFIELD
1047,1520 W POLK ST,Chicago,IL,60607,GARIBALDI (GIUSEPPI)
1048,149 W 73RD ST,Chicago,IL,60621,MEMORIAL
1049,7140 S DR MARTIN LUTHER KING J,Chicago,IL,60619,MEYERING (WILLIAM)
1050,5085 W ADAMS ST,Chicago,IL,60644,MOORE (MAURICE)
1051,5727 S RACINE AVE,Chicago,IL,60621,MORAN (TERRANCE)
1052,2617 W 105TH ST,Chicago,IL,60655,MUNROE
1053,1743 W 73RD ST,Chicago,IL,60636,MURRAY (DAVID)
1054,6660 W 52ND ST,Chicago,IL,60638,NORMANDY
1055,2251 W 50TH PL,Chicago,IL,60609,LITTLE VENICE
1056,3823 W SCHOOL ST,Chicago,IL,60618,PARK-VIEW
1057,1932 W LUNT AVE,Chicago,IL,60626,PASCHEN (CHRISTIAN)
1058,9650 S AVENUE M,Chicago,IL,60617,PIETROWSKI (SYLVESTER)
1060,10714 S SAWYER AVE,Chicago,IL,60655,MCKIERNAN (DAVID)
1061,1552 W SCHREIBER AVE,Chicago,IL,60626,SCHREIBER
1062,1635 W 33RD PL,Chicago,IL,60608,"KUCINSKI-MURPHY (VICKI, ROSEBETH)"
1063,4920 S THROOP ST,Chicago,IL,60609,BACK OF THE YARDS
1064,305 N KOSTNER,Chicago,IL,60624,TILTON (GEORGE)
1094,7521 S DOBSON AVE,Chicago,IL,60619,DOBSON
1065,2106 W ADAMS ST,Chicago,IL,60612,"TOUHY-HERBERT (JOHN, VICTOR)"
1066,2410 S TRUMBULL AVE,Chicago,IL,60623,LIMAS (JULIANN HOPE)
1067,2820 E 98TH ST,Chicago,IL,60617,VETERANS' MEMORIAL
1068,948 W 51ST ST,Chicago,IL,60609,WAGNER (CLARENCE)
1069,607 W 92ND ST,Chicago,IL,60620,WALLACE
1070,2521 S WASHTENAW AVE,Chicago,IL,60608,WASHTENAW
1071,1122 W 34TH PL,Chicago,IL,60608,WILSON (JOHN)
1097,3461 N TROY ST,Chicago,IL,60618,ELSTON (DANIEL)
1072,3325 E 108TH ST,Chicago,IL,60617,WOLFE (RICHARD)
1073,7340 S EAST END AVE,Chicago,IL,60649,WOODHULL (ROSS)
1074,2534 N GREENVIEW AVE,Chicago,IL,60614,WRIGHTWOOD
1077,1754 W ALBION AVE,Chicago,IL,60626,LANGDON (MARY MARGARET)
1078,5233 N ASHLAND AVE,Chicago,IL,60640,ANDERSONVILLE
1079,10558 S AVENUE L,Chicago,IL,60617,KRAUSE (FRANCIS VERNON)
1098,5600 S EMERALD AVE,Chicago,IL,60621,EMERALD
1080,13407 S AVENUE M,Chicago,IL,60633,WESOLEK (MARLENE)
1083,5641 S KENWOOD AVE,Chicago,IL,60637,BIXLER (RAY)
1084,1049  W BUENA,Chicago,IL,60613,BUENA CIRCLE
1085,1224 W CARMEN AVE,Chicago,IL,60640,CARMEN
1086,6155 S CARPENTER ST,Chicago,IL,60621,CARPENTER (PHILO)
1087,721 N CENTRAL PARK AVE,Chicago,IL,60624,CENTRAL
1089,1533 S CHRISTIANA AVE,Chicago,IL,60623,CHRISTIANA
1090,6156 N CLAREMONT AVE,Chicago,IL,60659,KORCZAK (JANUSZ)
1091,1755 N CLYBOURN AVE,Chicago,IL,60614,CLYBOURN (ARCHIBALD)
1092,5427 W DIVISION ST,Chicago,IL,60651,DAVIS (MARGARET)
1100,2012 W BELMONT AVE,Chicago,IL,60618,FELLGER (CHARLES)
1102,3307 W GLADYS AVE,Chicago,IL,60624,GLADYS (GUNDERSON)
1103,3531 W GRAND AVE,Chicago,IL,60651,GRAND
1106,3921 W DIVISION ST,Chicago,IL,60651,HARDING (FREDERICK)
1107,4246 N HERMITAGE AVE,Chicago,IL,60613,ZATTERBERG (HELEN)
1108,2148 S HOMAN AVE,Chicago,IL,60623,HOMAN (JOSEPH)
1109,4950 W HUBBARD ST,Chicago,IL,60644,HUBBARD (GURDON)
1111,5635 S INDIANA AVE,Chicago,IL,60637,HANSBERRY (LORRAINE)
1112,4319 S INDIANA AVE,Chicago,IL,60653,JACKSON (ROBERT)
1113,1630 S JEFFERSON ST,Chicago,IL,60616,JEFFERSON (THOMAS)
1114,1243 S KEELER AVE,Chicago,IL,60623,KEELER (CYRUS)
1115,3141 N KENMORE AVE,Chicago,IL,60657,KENMORE
1116,1655 N KEYSTONE AVE,Chicago,IL,60639,KEYSTONE
1118,700 E 113TH ST,Chicago,IL,60628,LANGLEY
1119,4800 N LAVERGNE AVE,Chicago,IL,60630,THUIS (GRACE ZWIEFKA)
1120,3432 W 18TH ST,Chicago,IL,60623,LONDON (LOUIS)
1121,632 W 31ST ST,Chicago,IL,60616,HUMBERT (JAMES)
1122,10021 S LUELLA AVE,Chicago,IL,60617,LUELLA
1123,2239 W LUNT AVE,Chicago,IL,60645,"LUNT (ORRINGTON, STEPHEN)"
1124,3736 N MARSHFIELD AVE,Chicago,IL,60613,MERRYMAN (THERON)
1126,2131 E 96TH ST,Chicago,IL,60617,MERRILL (GEORGE)
1127,1331 S MILLARD AVE,Chicago,IL,60623,MILLARD (ALDEN)
1128,848 S MILLER ST,Chicago,IL,60607,MILLER (SAMUEL)
1129,2632 W 66TH ST,Chicago,IL,60629,MONTGOMERY (MABEL)
1130,1814 N MONTICELLO AVE,Chicago,IL,60647,MONTICELLO
1132,11710 S MORGAN ST,Chicago,IL,60643,MORGAN (THOMAS LEEDS) FIELD
1133,2953 W NELSON ST,Chicago,IL,60618,NELSON (ANDREW)
1135,901 W OAKDALE AVE,Chicago,IL,60657,WEISMAN (ALBERT)
1137,6441 S OAKLEY AVE,Chicago,IL,60636,OAKLEY
1138,607 N HARDING AVE,Chicago,IL,60624,OHIO & HARDING
1139,4712 W OHIO ST,Chicago,IL,60644,OHIO
1141,5640 N PULASKI RD,Chicago,IL,60646,BRYNFORD
1143,2528 N RACINE AVE,Chicago,IL,60614,SUPERA (LOUIS)
1145,667 W ROSCOE ST,Chicago,IL,60657,WENDT (KENNETH)
1147,3520 N SACRAMENTO AVE,Chicago,IL,60618,SACRAMENTO
1148,2415 N MARSHFIELD AVE,Chicago,IL,60614,SCHAEFER (EDWARD)
1149,347 N ST LOUIS AVE,Chicago,IL,60624,SAINT LOUIS
1150,2101 W SUPERIOR ST,Chicago,IL,60612,SUPERIOR
1151,7262 W SUMMERDALE AVE,Chicago,IL,60656,SUMMERDALE
1154,6410 S ELLIS AVE,Chicago,IL,60637,TILL-MOBLEY (MAMIE)
1155,2835 S WALLACE ST,Chicago,IL,60616,SINTIC (GREGORY)
1162,600 W 36TH ST,Chicago,IL,60609,MCKEON (JOSEPH)
1164,4100 W WEST END AVE,Chicago,IL,60624,MASON (ELIZABETH)
1165,907 N WESTERN AVE,Chicago,IL,60622,WESTERN
1168,745 W WRIGHTWOOD AVE,Chicago,IL,60614,PARK WEST
1199,7535 S DOBSON AVE,Chicago,IL,60619,ADAMS (JOHN C.)
1200,871 N WABASH AVE,Chicago,IL,60611,CONNORS (WILLIAM)
1201,11144 S ST LAWRENCE AVE,Chicago,IL,60628,ARCADE
1203,406 W WINNECONNA PKWY,Chicago,IL,60620,AUBURN
1220,462 N PINE AVE,Chicago,IL,60644,LEVIN (JOHN)
1204,5951 W LAKE ST,Chicago,IL,60644,AUSTIN (HENRY)
1205,10441 S LONGWOOD DR,Chicago,IL,60643,BARNARD (AMY L.)
1206,401 W BELDEN AVE,Chicago,IL,60614,MID-NORTH
1207,1438 W OHIO ST,Chicago,IL,60622,BICKERDIKE (GEORGE) SQUARE
1209,4233 S GREENWOOD AVE,Chicago,IL,60653,CHAMBERLAIN TRIANGLE
1222,5873 N NINA AVE,Chicago,IL,60631,MULBERRY POINT
1210,8931 S DAUPHIN AVE,Chicago,IL,60619,DIXON (LORRAINE)
1211,4117 N LAVERGNE AVE,Chicago,IL,60641,DICKINSON (ARTHUR)
1212,6500 N ALGONQUIN AVE,Chicago,IL,60646,GREEN (JEFFREY)
1213,600 E 37TH ST,Chicago,IL,60653,ELLIS (SAMUEL)
1214,1707 N LA SALLE ST,Chicago,IL,60614,EUGENIE TRIANGLE
1239,1031 N RUSH ST,Chicago,IL,60611,MARIANO (LOUIS)
1215,9501 S EGGLESTON AVE,Chicago,IL,60628,FERNWOOD PKWY.
1216,1607 E 73RD ST,Chicago,IL,60649,HODES (BARNET)
1217,5200 W KINZIE ST,Chicago,IL,60644,KINZIE (JOHN) PKWY.
1218,632 W 71ST ST,Chicago,IL,60621,LILY GARDENS
1219,1600 W BRYN MAWR AVE,Chicago,IL,60640,"MELLIN (CURTIS, SR.)"
1223,6113 N NEVA AVE,Chicago,IL,60631,MYRTLE GROVE
1224,485 E OHIO ST,Chicago,IL,60611,ADDAMS (JANE) MEML.
1225,6701 S LOWE AVE,Chicago,IL,60621,HARRIS (RYAN) MEMORIAL
1226,7117 W PETERSON AVE,Chicago,IL,60631,NORWOOD CIRCLE
1237,11113 S COTTAGE GROVE AVE,Chicago,IL,60628,PULLMAN (GEORGE)
1238,6086 N NORTHWEST HWY,Chicago,IL,60631,CENTENNIAL
1272,5324 S WOODLAWN AVE,Chicago,IL,60615,BUTTERNUT
1242,228 E CHICAGO AVE,Chicago,IL,60611,SENECA
1244,901 N CLARK ST,Chicago,IL,60610,WASHINGTON SQUARE
1248,1040 W ALBION AVE,Chicago,IL,60626,HARTIGAN (DAVID) BEACH
1251,1040 W COLUMBIA AVE,Chicago,IL,60626,DORIA (HELEN) BEACH
1253,1300 W FARGO AVE,Chicago,IL,60626,FARGO (JAMES) BEACH
1255,6227 N SHERIDAN RD,Chicago,IL,60660,BERGER (ALBERT)
1256,1300 W HOWARD ST,Chicago,IL,60626,HOWARD (URE) BEACH
1257,1234 W JARVIS AVE,Chicago,IL,60626,GRIFFIN (MARION MAHONY)
593,4546 N KEDVALE AVE,Chicago,IL,60630,PARK NO. 593
1258,7751 N EASTLAKE TER,Chicago,IL,60626,JUNEWAY BEACH
1260,1040 W NORTH SHORE AVE,Chicago,IL,60626,NORTH SHORE BEACH
1261,1050 W PRATT BLVD,Chicago,IL,60626,PRINZ (TOBEY) BEACH
1262,7705 N EASTLAKE TERRACE,Chicago,IL,60626,ROGERS (PHILLIP) BEACH
1265,1000 W THORNDALE AVE,Chicago,IL,60660,LANE (GEORGE) BEACH
1267,7700 S WALLACE ST,Chicago,IL,60620,LYLE (JOHN)
1268,5950 S WOODLAWN AVE,Chicago,IL,60637,MIDWAY PLAISANCE
1270,1023 W WRIGHTWOOD AVE,Chicago,IL,60614,JONQUIL
1273,4201 S CHAMPLAIN AVE,Chicago,IL,60653,SUMAC
1274,5109 S GREENWOOD AVE,Chicago,IL,60615,SYCAMORE
1275,7005 S DANTE AVE,Chicago,IL,60637,CHESTNUT
1276,631 W BELMONT AVE,Chicago,IL,60657,EVERGREEN
1277,2210 N SOUTHPORT AVE,Chicago,IL,60614,CLOVER
1278,3801 W 45TH ST,Chicago,IL,60632,RUIZ (IRMA C.)
1279,5315 N WINTHROP AVE,Chicago,IL,60640,CEDAR
1280,2133 N MCVICKER AVE,Chicago,IL,60639,AIELLO (JOHN)
1281,1822 W LARCHMONT AVE,Chicago,IL,60613,FILBERT
1283,2047 N SPAULDING AVE,Chicago,IL,60647,MAPLE
1284,3150 S ROBINSON CT,Chicago,IL,60608,MULBERRY
591,3906 S LAKE PARK AVE,Chicago,IL,60653,PARK NO. 591
1286,3700 W 87TH ST,Chicago,IL,60652,LEE (JOHN)
1287,9507 S OGLESBY AVE,Chicago,IL,60617,PINE
1288,2731 S ELEANOR ST,Chicago,IL,60608,JACOLIK (FLORIAN S.)
565,11600 S TORRENCE AVE,Chicago,IL,60617,PARK NO. 565
572,1601-3701 W BLOOMINGDALE AVE,Chicago,IL,60647,BLOOMINGDALE TRAIL
582,9202-35 S VANDERPOEL AVE,Chicago,IL,60643,PARK NO. 582
583,10108 S EXCHANGE AVE,Chicago,IL,60617,PARK NO. 583
585,6049 S WHIPPLE ST,Chicago,IL,60629,PARK NO. 585
586,7208 S MAPLEWOOD AVE,Chicago,IL,60629,PARK NO. 586
587,658 E 95th ST,Chicago,IL,60619,PARK NO. 587
584,134 W 119th ST,Chicago,IL,60628,PARK NO. 584
588,10440-44 S CORLISS AVE,Chicago,IL,60628,PARK NO. 588
595,247 W 128TH ST,Chicago,IL,60628,PARK NO. 595
594,3159 S HALSTED ST,Chicago,IL,60608,PARK NO. 594
589,227 W 110TH PL,Chicago,IL,60628,PARK NO. 589
590,3938-40 S INDIANA AVE,Chicago,IL,60653,PARK NO. 590
592,4149-53 S VINCENNES AVE,Chicago,IL,60653,PARK NO. 592
596,4830 S WESTERN AVE,Chicago,IL,60632,PARK NO. 596
597,12500 S TORRENCE AVE,Chicago,IL,60633,PARK NO. 597
598,1514 N LARRABEE ST,Chicago,IL,60610,PARK NO. 598
599,1623 W EDGEWATER AVE,Chicago,IL,,PARK NO. 599
600,12201 S STONY ISLAND AVE,Chicago,IL,,PARK NO. 600
601,7000 W IRVING PARK RD,Chicago,IL,,PARK NO. 601
602,4008 W MADISON ST,Chicago,IL,,PARK NO. 602
